[  935.236275] cmpe283_1: loading out-of-tree module taints kernel.
[  935.236465] cmpe283_1: module verification failed: signature and/or required key missing - tainting kernel
[  935.237587] CMPE 283 Assignment 1 Module Start
[  935.237600] Pinbased Controls MSR: 0x3f00000016
[  935.237607]   External Interrupt Exiting: Can set=Yes, Can clear=Yes
[  935.237866]   Intel PT uses guest physical addresses: Can set=No, Can clear=Yes
[  935.237870]   Use TSC scaling: Can set=No, Can clear=Yes
[  935.237872]   Enable user wait and pause: Can set=No, Can clear=Yes
[  935.237875]   Enable ENCLV exiting: Can set=No, Can clear=Yes
[  935.237878] Tertiary ProcessorBased VM-Execution Controls do not exist!
[  935.237884] VM-Exit Controls MSR: 0x3fffff00036dff
[  935.237889]   Save debug controls: Can set=Yes, Can clear=No
[  935.237892]   Host address-space size: Can set=Yes, Can clear=Yes
[  935.237895]   Load IA32_PERF_GLOBAL_CTRL: Can set=Yes, Can clear=Yes
[  935.237897]   Acknowledge interrupt on exit: Can set=Yes, Can clear=Yes
[  935.237900]   Save IA32_PAT: Can set=Yes, Can clear=Yes
[  935.237903]   Load IA32_PAT: Can set=Yes, Can clear=Yes
[  935.237905]   Save IA32_EFER: Can set=Yes, Can clear=Yes
[  935.237908]   Load IA32_EFER: Can set=Yes, Can clear=Yes
[  935.237911]   Save VMXpreemption timer value: Can set=No, Can clear=Yes
[  935.237914]   Clear IA32_BNDCFGS: Can set=No, Can clear=Yes
[  935.237916]   Conceal VMX from PT: Can set=No, Can clear=Yes
[  935.237919]   Clear IA32_RTIT_CTL: Can set=No, Can clear=Yes
[  935.237922]   Clear IA32_LBR_CTL: Can set=No, Can clear=Yes
[  935.237925]   Load CET state: Can set=No, Can clear=Yes
[  935.237927]   Load PKRS: Can set=No, Can clear=Yes
[  935.237930]   Activate secondary controls: Can set=No, Can clear=Yes
[  935.237936] VM-Entry Controls MSR: 0xf3ff000011ff
[  935.237941]   Load debug controls: Can set=Yes, Can clear=No
[  935.237944]   IA-32e mode guest: Can set=Yes, Can clear=Yes
[  935.237947]   Entry to SMM: Can set=No, Can clear=Yes
[  935.237950]   Deactivate dualmonitor treatment: Can set=No, Can clear=Yes
[  935.237953]   Load IA32_PERF_GLOBAL_CTRL: Can set=Yes, Can clear=Yes
[  935.237956]   Load IA32_PAT: Can set=Yes, Can clear=Yes
[  935.237958]   Load IA32_EFER: Can set=Yes, Can clear=Yes
[  935.237961]   Load IA32_BNDCFGS: Can set=No, Can clear=Yes
[  935.237964]   Conceal VMX from PT: Can set=No, Can clear=Yes
[  935.237967]   Load IA32_RTIT_CTL: Can set=No, Can clear=Yes
[  935.237970]   Load CET state: Can set=No, Can clear=Yes
[  935.237972]   Load guest IA32_LBR_CTL: Can set=No, Can clear=Yes
[  935.237974]   Load PKRS: Can set=No, Can clear=Yes
[  943.710495] CMPE 283 Assignment 1 Module Exits
